"","class","pland","pd","ed","shape_mn","pa"
"27363",0,93.4782608695652,1207.72946859903,760.869565217391,1.61749159805158,0
"27364",1,64.1304347826087,1207.72946859903,1884.05797101449,2.34340039765483,0
"27365",1,68.4782608695652,1207.72946859903,2246.3768115942,2.70874538989946,0
"27366",NA,77.2727272727273,2525.25252525253,1666.66666666667,2.05798302171011,0
"27367",1,81.5217391304348,1207.72946859903,1413.04347826087,2.13619599600162,0
"27368",1,96.7391304347826,1207.72946859903,253.623188405797,1.11299777400668,0
"27369",1,83.695652173913,1207.72946859903,1594.20289855072,2.22223124096294,0
"27370",1,96.0526315789474,1461.98830409357,438.59649122807,1.28745261915744,0
"27371",1,54.3478260869565,3623.1884057971,2463.76811594203,1.63500916866292,0
"27372",0,34.7826086956522,7246.3768115942,2173.91304347826,1.35786513175606,0
"27373",0,28.2608695652174,8454.10628019324,2137.68115942029,1.270508951051,0
"27374",1,65.2173913043478,3623.1884057971,2137.68115942029,1.52015848025486,0
"27375",1,57.6086956521739,2415.45893719807,2028.98550724638,1.8041129879666,0
"27376",1,70.6521739130435,1207.72946859903,2681.15942028986,3.16288573202482,0
"27377",0,25,5847.95321637427,2149.12280701754,1.52318453026917,0
"27378",1,92.3076923076923,1221.00122100122,695.970695970696,1.47297075909295,0
"27379",1,85.8695652173913,1207.72946859903,1231.88405797101,1.85639503652794,0
"27380",1,80.4347826086957,1207.72946859903,1521.73913043478,2.32495277487639,0
"27381",0,73.6263736263736,1221.00122100122,1868.13186813187,2.56555833148241,0
"27382",1,46.7391304347826,2415.45893719807,2427.53623188406,2.07943215776961,0
"27383",1,55.4347826086957,4830.91787439614,2318.84057971014,1.54339445286049,0
"27384",1,47.5609756097561,2710.027100271,2357.72357723577,1.91943743489417,0
"27385",0,61.9565217391304,3623.1884057971,2282.60869565217,1.68927581679607,0
"27386",1,89.3939393939394,1683.50168350168,909.090909090909,1.49717247627947,0
"27387",1,98.7179487179487,1424.50142450142,128.205128205128,1.08262547636656,0
"27388",1,91.304347826087,1207.72946859903,833.333333333333,1.58207970421094,0
"27389",0,84.7826086956522,1207.72946859903,1521.73913043478,2.0947125131675,0
"27390",1,92.3913043478261,1207.72946859903,688.405797101449,1.46428059027593,0
"27391",1,93.4065934065934,1221.00122100122,586.080586080586,1.46428059027593,0
"27392",1,51.0869565217391,6038.64734299517,2463.76811594203,1.41068318148932,0
"27393",1,86.9565217391304,1207.72946859903,869.565217391304,1.56524758424985,0
"27394",0,47.8260869565217,3623.1884057971,2427.53623188406,1.69922249288355,0
"27395",1,56.5217391304348,3623.1884057971,2101.44927536232,1.63633069540685,0
"27396",1,83.695652173913,1207.72946859903,1449.27536231884,2.1082706645033,0
"27397",1,96.7391304347826,1207.72946859903,289.855072463768,1.165997668007,0
"27398",1,97.8260869565217,1207.72946859903,217.391304347826,1.15950180872841,0
"27399",0,44.5652173913044,3623.1884057971,2463.76811594203,1.81684961602723,0
"27400",0,19.4029850746269,8291.87396351575,1741.29353233831,1.2389643713564,0
"27401",1,39.3258426966292,7490.63670411985,2172.28464419476,1.3217850978128,0
"27402",0,84.7826086956522,1207.72946859903,1304.34782608696,1.92487095804581,0
"27403",1,75.7575757575758,3367.00336700337,1919.19191919192,1.61286184062046,0
"27404",1,56.5217391304348,2415.45893719807,2463.76811594203,2.04030809243081,0
"27405",0,36.9565217391304,6038.64734299517,1739.13043478261,1.33717301755619,0
"27406",0,80.4347826086957,1207.72946859903,1521.73913043478,2.20870513613257,0
"27407",1,92.3913043478261,1207.72946859903,688.405797101449,1.46428059027593,0
"27408",1,89.1304347826087,1207.72946859903,942.028985507246,1.76690441719754,0
"27409",0,43.4782608695652,3623.1884057971,2463.76811594203,1.75890300210247,0
"27410",1,91.2087912087912,1221.00122100122,695.970695970696,1.48181750986082,0
"27411",1,84.7826086956522,1207.72946859903,1413.04347826087,2.0947125131675,0
"27412",1,80.4347826086957,1207.72946859903,1521.73913043478,2.20870513613257,0
"27413",1,95.5223880597015,1658.37479270315,597.014925373134,1.4375,0
"27414",1,83.695652173913,1207.72946859903,1630.4347826087,2.33619181742258,0
"27415",1,96.7391304347826,1207.72946859903,398.550724637681,1.32499735000795,0
"27416",1,76.0869565217391,1207.72946859903,2173.91304347826,2.86854866240254,0
"27417",1,59.7826086956522,1207.72946859903,2500,3.16873935357724,0
"27418",1,73.9130434782609,1207.72946859903,1920.28985507246,2.36472234410425,0
"27419",0,11.1111111111111,4938.27160493827,1074.07407407407,1.21077064474915,0
"27420",0,38.0434782608696,4830.91787439614,2210.14492753623,1.80909089444105,0
"27421",1,83.695652173913,1207.72946859903,1557.97101449275,2.1082706645033,0
"27422",1,85.8695652173913,1207.72946859903,1231.88405797101,1.96890382662054,0
"27423",0,66.304347826087,2415.45893719807,2463.76811594203,2.20698559277155,0
"27424",1,72.8260869565217,1207.72946859903,1775.36231884058,2.3212194427698,0
"27425",1,94.5054945054945,1221.00122100122,695.970695970696,1.56357521144986,0
"27426",1,88.0434782608696,1207.72946859903,1195.65217391304,1.83333333333333,0
"27427",1,46.7391304347826,7246.3768115942,2173.91304347826,1.26284097161188,0
"27428",1,72.2222222222222,1234.56790123457,2037.03703703704,2.54271205907877,0
"27429",0,54.4117647058824,3267.97385620915,2352.94117647059,1.85890034543307,0
"27430",1,91.1111111111111,1234.56790123457,888.888888888889,1.6564728911227,0
"27431",1,90.2173913043478,1207.72946859903,1159.42028985507,1.97575667981443,0
"27432",1,74.4444444444444,2469.13580246914,1925.92592592593,1.70014203704849,0
"27433",0,15.5555555555556,4938.27160493827,1333.33333333333,1.4103851002049,0
"27434",1,61.9565217391304,1207.72946859903,1920.28985507246,2.58283809627684,0
"27435",0,69.5652173913043,1207.72946859903,2137.68115942029,2.625,0
"27436",0,82.6086956521739,1207.72946859903,1485.50724637681,2.17944947177034,0
"27437",1,91.304347826087,1207.72946859903,1014.49275362319,1.74574312188794,0
"27438",1,86.8131868131868,1221.00122100122,1062.27106227106,1.68763185138904,0
"27439",1,96.7391304347826,1207.72946859903,362.31884057971,1.32499735000795,0
"27440",1,92.3076923076923,1221.00122100122,622.710622710623,1.47297075909295,0
"27441",1,85.8695652173913,1207.72946859903,1485.50724637681,2.13766701175945,0
"27442",1,65.2173913043478,3623.1884057971,1702.89855072464,1.3450832364419,0
