ID,track,tag,ts,x,y,step,angle,angle_deg,state
10483_78,78,10483,2023-02-22T01:57:26Z,508483.09143136267,2771178.4708960457,1.405568772342824,-0.6316812125681821,-36.19266747786305,2
10483_78,78,10483,2023-02-22T01:58:06Z,508484.2095880232,2771179.3225704296,0.9257525604599732,0.9384810584513492,53.771003802232634,2
10483_78,78,10483,2023-02-22T01:58:46Z,508484.1923538874,2771180.248162558,0.945547277587287,0.12779434120926236,7.322076396945507,2
10483_78,78,10483,2023-02-22T01:59:26Z,508484.0544087147,2771181.183593359,1.017029195968356,-0.6461407600531188,-37.02113852241892,2
10483_78,78,10483,2023-02-22T02:00:06Z,508484.5417565841,2771182.0762525545,1.7913163347381706,-0.6097212184516172,-34.93445249685176,1
10483_78,78,10483,2023-02-22T02:00:46Z,508486.145798104,2771182.873664,1.791316334583002,-2.4724255975883125e-10,-1.4165955190192075e-8,1
10483_78,78,10483,2023-02-22T02:01:26Z,508487.749839624,2771183.671075445,1.917400343690155,-0.04631217872712723,-2.653492381119943,1
10483_78,78,10483,2023-02-22T02:02:06Z,508489.50445773354,2771184.4442115054,1.9218756343397356,-0.0015078925579826707,-0.0863958795315928,1
10483_78,78,10483,2023-02-22T02:02:46Z,508491.26433772064,2771185.2164992657,1.9047294822983702,-0.08537332286563165,-4.89153108320842,1
10483_78,78,10483,2023-02-22T02:03:26Z,508493.0674295546,2771185.8303838144,2.0669128365819005,0.3043228936362772,17.43641741456734,1
10483_78,78,10483,2023-02-22T02:04:06Z,508494.734532284,2771187.052225524,3.2546195323266627,0.5169033150454843,29.616378368427394,1
10483_78,78,10483,2023-02-22T02:04:46Z,508496.06584823906,2771190.022098607,1.4155890953848937,-1.12887606609047,-64.67983418031531,2
10483_78,78,10483,2023-02-22T02:05:26Z,508497.48113981105,2771190.0511202062,0.8810670254052658,-0.1513317260288167,-8.670669207881263,2
10483_78,78,10483,2023-02-22T02:06:06Z,508498.3546773297,2771189.9361797576,0.8739829882808463,0.018607616531949048,1.0661378940785382,2
10483_78,78,10483,2023-02-22T02:06:46Z,508499.2231627917,2771189.838306032,0.9148139343890082,-0.13979670765062896,-8.009761338205266,2
10483_78,78,10483,2023-02-22T02:07:26Z,508500.1090788517,2771189.6101892437,1.8526091977568846,1.4280231588276966,81.81970004776704,2
10483_78,78,10483,2023-02-22T02:08:06Z,508500.8216208508,2771191.3202900416,2.020548581877549,-0.453178548990112,-25.965218222996036,2
10483_78,78,10483,2023-02-22T02:08:46Z,508502.3369087774,2771192.6568973404,2.0629199274609293,-0.0770094531114841,-4.4123166458986445,2
10483_78,78,10483,2023-02-22T02:09:26Z,508503.9843735429,2771193.8984683105,2.430645335192827,0.7914270750399022,45.3454311921699,2
10483_78,78,10483,2023-02-22T02:10:06Z,508504.3080270744,2771196.307469169,1.6543456283360012,2.8269672138932744,161.9732901779417,2
10483_78,78,10483,2023-02-22T02:10:46Z,508503.59115984675,2771194.816509466,3.628446304456791,0.6009234647803088,34.43037834229006,2
10483_78,78,10483,2023-02-22T02:11:26Z,508504.14323778363,2771191.230309174,1.116014936042241,0.9627530470529152,55.161686309492,2
10483_78,78,10483,2023-02-22T02:12:06Z,508505.1455646528,2771190.739564653,0.9617622858623699,0.892949940830159,51.162262926024695,2
10483_78,78,10483,2023-02-22T02:12:46Z,508506.0166798845,2771191.14717347,2.0865281103402924,-0.3423449965222372,-19.614923438145038,2
10483_78,78,10483,2023-02-22T02:13:26Z,508508.0937386282,2771191.3457346205,2.248635871761994,0.248535562565046,14.240038793886752,2
10483_78,78,10483,2023-02-22T02:14:06Z,508510.21075295337,2771192.1037673578,1.6977828136932471,0.33573926534763976,19.23644292124261,2
10483_78,78,10483,2023-02-22T02:14:46Z,508511.5313481715,2771193.1707700533,1.011324363424673,-2.4260982891467617,-139.0051926520191,2
10483_78,78,10483,2023-02-22T02:15:26Z,508511.35455189,2771192.175019059,1.0645502152390245,-0.5999628038315028,-34.37533652438045,2
10483_78,78,10483,2023-02-22T02:16:06Z,508510.6091502539,2771191.4149904004,0.9873868675031842,-0.2222826777947211,-12.735859296503861,2
10483_78,78,10483,2023-02-22T02:16:46Z,508509.77938023495,2771190.879813288,0.8460055746266781,-0.27603715403984586,-15.81576391528575,2
10483_78,78,10483,2023-02-22T02:17:26Z,508508.9703629062,2771190.632393818,0.43042920323647893,1.2973978916199125,74.33542353899239,2
10483_81,81,10483,2023-02-22T04:08:43Z,508562.2070584791,2771182.542704549,2.533649116618879,0,0,1
10483_81,81,10483,2023-02-22T04:09:23Z,508564.74011695816,2771182.5974090984,2.533649116677073,-4.960337696147121e-13,-2.842064149488762e-11,1
10483_81,81,10483,2023-02-22T04:10:03Z,508567.2731754373,2771182.6521136477,2.533649116618879,4.960337696147121e-13,2.842064149488762e-11,1
10483_81,81,10483,2023-02-22T04:10:43Z,508569.8062339164,2771182.706818197,0.2527957393280952,-0.18580407585659323,-10.645789362911389,2
10483_81,81,10483,2023-02-22T04:11:23Z,508570.0556289495,2771182.6654926203,0.34371620888958965,-2.784169982953122,-159.52118947022424,2
10483_81,81,10483,2023-02-22T04:12:03Z,508569.7183083866,2771182.5994951194,0.353678107615764,-0.003349326327642732,-0.1919022627859797,2
10483_81,81,10483,2023-02-22T04:12:43Z,508569.37098578305,2771182.5327477385,0.4900198874313334,-0.032093417544991176,-1.8388173754791022,2
10483_81,81,10483,2023-02-22T04:13:23Z,508568.8870517926,2771182.4557582396,0.07799086670635837,0.46424418504318377,26.599232466464848,2
10483_81,81,10483,2023-02-22T04:14:03Z,508568.8236680514,2771182.4103151252,0.5645155352901603,2.532989991375513,145.12963605469568,2
10483_81,81,10483,2023-02-22T04:14:43Z,508569.3881328276,2771182.417885199,0.31330523217416373,-0.04118089813541268,-2.359491659717308,2
10483_81,81,10483,2023-02-22T04:15:23Z,508569.70131725573,2771182.4091856317,0.3133052321612337,1.485713260751531e-9,8.512509940768231e-8,2
10483_81,81,10483,2023-02-22T04:16:03Z,508570.0145016839,2771182.4004860646,0.28548801553581343,-2.9876153783024813,-171.17775198511302,2
10483_81,81,10483,2023-02-22T04:16:43Z,508569.73128429515,2771182.364551155,0.3027921365548795,-0.012422318710727964,-0.7117464338911065,2
10483_81,81,10483,2023-02-22T04:17:23Z,508569.4304501502,2771182.330172452,0.05607522913947718,2.755612865514086,157.88498716590803,2
10483_81,81,10483,2023-02-22T04:18:03Z,508569.4666378328,2771182.32007163,0.9935496351904987,-2.8283977997312486,-162.0552567086888,2
10483_81,81,10483,2023-02-22T04:18:43Z,508568.47392313415,2771182.2793481154,0.46703065390903686,-3.0549720010608743,-175.03700219142374,2
10483_81,81,10483,2023-02-22T04:19:23Z,508568.93715571234,2771182.338788928,0.7064040611679281,-0.018071359947647747,-1.0354126550619722,2
10483_81,81,10483,2023-02-22T04:20:03Z,508569.63932526397,2771182.41601987,0.6695801223361825,0.01647380042253907,0.943879236752321,2
10483_81,81,10483,2023-02-22T04:20:43Z,508570.30359539576,2771182.50017884,0.057903015700874715,1.5046934744826914,86.21258554873405,2
10483_81,81,10483,2023-02-22T04:21:23Z,508570.3001279444,2771182.5579779404,0.28231028655627,1.3401414869339774,76.78445115170346,2
10483_81,81,10483,2023-02-22T04:22:03Z,508570.02192241675,2771182.605944411,0.2823102864197896,1.5904508821051877e-9,9.112612306748612e-8,2
10483_81,81,10483,2023-02-22T04:22:43Z,508569.7437168892,2771182.653910881,0.45197632322798703,0.09364068747636667,5.365216183099354,2
10483_81,81,10483,2023-02-22T04:23:23Z,508569.29308307625,2771182.688721273,0.3647010936504941,-2.684486333834058,-153.8097370892389,2
10483_81,81,10483,2023-02-22T04:24:03Z,508569.63176648866,2771182.8240003693,0.5936801310653309,-0.042240646590756936,-2.420210773554042,2
10483_81,81,10483,2023-02-22T04:24:43Z,508570.19190108957,2771183.0207370636,0.48631888969035614,2.515336389802274,144.11815919134358,2
10483_81,81,10483,2023-02-22T04:25:23Z,508569.7256788607,2771183.1590949176,0.26446593574470517,-2.0626706955746554,-118.1823253817416,2
10483_81,81,10483,2023-02-22T04:26:03Z,508569.9117398855,2771183.347040458,0.1785135610248676,0.6155527039211055,35.268572002545305,2
10483_81,81,10483,2023-02-22T04:26:43Z,508569.9410271293,2771183.5231351736,0.5221909034694532,-1.0205142487480416,-58.471159386226645,2
10483_81,81,10483,2023-02-22T04:27:23Z,508570.42489957286,2771183.719478745,0.20184920444410054,0.11554518758339499,6.620251591575936,2
10483_81,81,10483,2023-02-22T04:28:03Z,508570.60194006836,2771183.8164311266,0.28717369331711345,2.7714027000964174,158.78967804668534,2
10483_81,81,10483,2023-02-22T04:28:43Z,508570.3172205941,2771183.778967129,0.6501553380906308,-0.0403449304546859,-2.3115942398023237,2
10483_81,81,10483,2023-02-22T04:29:23Z,508569.6697250608,2771183.7202176778,0.634875248549996,3.0948807525798023,177.32360521909465,2
10483_81,81,10483,2023-02-22T04:30:03Z,508570.3039921525,2771183.7479996434,0.8783282717310648,-1.4992318981132182,-85.89966027327485,2
10483_81,81,10483,2023-02-22T04:30:43Z,508570.4050724354,2771182.875507048,0.9273437442448481,-1.271915709132166,-72.87540202966234,2
10483_81,81,10483,2023-02-22T04:31:23Z,508569.55615319277,2771182.5022744937,1.2400917212725793,-2.6504197058155725,-151.85786308153757,2
