"","division","ed","pd","pland","shape_mn","x","y","ID","track","tag","ts","step","angle","angle_deg","state","class"
"9000",0.906030286641428,1666.66666666667,5167.95865633075,38.3720930232558,1.24409705635827,508735.5,2771218.5,"10486_12",12,10486,2023-04-24 19:49:37,0.413044143442161,0.718119625312617,41.145223715929,"2","2"
"9001",0.906030286641428,1666.66666666667,5167.95865633075,38.3720930232558,1.24409705635827,508735.5,2771218.5,"10486_12",12,10486,2023-04-24 19:50:17,0.402482150720123,0.419598746918954,24.041237287434,"2","2"
"9002",0.859113034072472,1666.66666666667,3875.96899224806,44.1860465116279,1.35905600990829,508732.5,2771218.5,"10486_12",12,10486,2023-04-24 19:50:57,0.419220022301179,-0.0628965544271756,-3.60370711459203,"2","1"
"9003",0.859113034072472,1666.66666666667,3875.96899224806,44.1860465116279,1.35905600990829,508732.5,2771218.5,"10486_12",12,10486,2023-04-24 19:51:37,0.537533892762805,-0.128600986669548,-7.36829377738328,"2","1"
"9004",0.859113034072472,1666.66666666667,3875.96899224806,44.1860465116279,1.35905600990829,508732.5,2771218.5,"10486_12",12,10486,2023-04-24 19:52:17,0.687532704474063,0.0508200655200541,2.91177526887742,"2","1"
"9005",0.859113034072472,1666.66666666667,3875.96899224806,44.1860465116279,1.35905600990829,508732.5,2771218.5,"10486_12",12,10486,2023-04-24 19:52:57,0.679901204557089,-0.341693045869862,-19.5775694173131,"2","1"
"9006",0.859113034072472,1666.66666666667,3875.96899224806,44.1860465116279,1.35905600990829,508732.5,2771218.5,"10486_12",12,10486,2023-04-24 19:53:37,0.743368356119054,0.259422794932723,14.8638312591329,"2","1"
"9007",0.841265548945376,1821.70542635659,3875.96899224806,46.5116279069767,1.37004540691828,508732.5,2771215.5,"10486_12",12,10486,2023-04-24 19:54:17,0.921103260036225,0.344085155408598,19.7146271980157,"2","2"
"9008",0.782314764737696,2015.50387596899,3875.96899224806,51.1627906976744,1.3770413586615,508729.5,2771215.5,"10486_12",12,10486,2023-04-24 19:54:57,0.967503540534456,-0.0341872698334185,-1.9587862745298,"2","2"
"9009",0.782314764737696,2015.50387596899,3875.96899224806,51.1627906976744,1.3770413586615,508729.5,2771215.5,"10486_12",12,10486,2023-04-24 19:55:37,1.00901971589549,-0.347458542462867,-19.9079080388894,"2","2"
"9010",0.782314764737696,2015.50387596899,3875.96899224806,51.1627906976744,1.3770413586615,508729.5,2771215.5,"10486_12",12,10486,2023-04-24 19:56:17,1.1639754788431,-0.131607887090177,-7.5405764809014,"2","2"
"9011",0.712682531097891,1899.22480620155,2583.97932816538,56.9767441860465,1.60944396227391,508726.5,2771215.5,"10486_12",12,10486,2023-04-24 19:56:57,1.14978128232623,0.144778698844533,8.29520840718728,"2","2"
